Sektor,Unit,Tugas,Peruntukan,Nama Program,"Bilangan
Peserta",Tarikh Mula,Tarikh Tamat,Nama Pegawai Bertanggungjawab,Gred Pegawai,Status Pelaksanaan,JUSTIFIKASI BELUM BERMULA/DIPINDA/DIBATALKAN,0S21000 (a1),OS24000 (a2),OS27000 (a3),OS29000 (a4),JUMLAH ANGGARAN PERBELANJAAN (a1+a2+a3+a4),0S21000 (b1),OS24000 (b2),OS27000 (b3),OS29000 (b4),JUMLAH KOMITMEN (b1+b2+b3+b4),eventCalendar,__PowerAppsId__
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Semakan Dokumen Standard Kualiti Prasekolah Kebangsaan (SKPK) 2.0 dan Pembangunan SKPK 3.0 Bersama Task Force Jemaah Nazir Tahun 2025,18,21/01/2025,24/01/2025,Dr. Nor Lizana binti Kamaruzaman,DG12,Selesai,,7950,1620,0,0,9570,7950,1620,0,0,9570,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,"Bengkel Kerja Semakan SKPK 2.0 dan Pembangunan SKPK 3.0 Bersama-sama Pakar, Bahagian KPM dan Agensi Bil.1/2025",33,12/02/2025,14/02/2025,Dr. Nor Lizana binti Kamaruzaman,DG12,Selesai,,11947,1485,0,0,13432,11947,1485,0,0,13432,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Penyediaan Dokumen SKPK 3.0 Bersama Task Force Jemaah Nazir Bil. 2 Tahun 2025,21,03/06/2025,05/06/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Selesai,,16430.04,0,0,1890,18320.04,0,0,0,0,0,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Penyediaan Dokumen SKPK 3.0 Bersama Task Force Jemaah Nazir Bil. 1 Tahun 2025,,11/03/2025,13/03/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Selesai,,10834.1,0,0,0,10834.1,10834.1,0,0,0,10834.1,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,"Bengkel Kerja Penyediaan Dokumen Standard  Kualiti Prasekolah Kebangsaan SKPK 3.0 Bersama-sama Pakar, Bahagian KPM dan Agensi Bil.1/2025",38,28/04/2025,30/04/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Selesai,,7214.44,0,0,15681.6,22896.04,7214.44,0,0,15681.6,22896.04,,
SSJK,Unit Prasekolah,Mesyuarat,INISIATIF#59,Mesyuarat Penyelarasan Model Pendidikan Prasekolah Malaysia Bil.1 Tahun 2025,37,24/06/2025,24/06/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Selesai,,0,0,0,0,0,0,0,0,0,0,,
SSJK,Unit Jaminan Kualiti,Bengkel,DSA(JN),Bengkel Pembangunan Dashboard Status Tindakan Terhadap Perakuan Menteri Pendidikan (STTPMP),12,28/07/2025,30/07/2025,Zamzarina binti Ibrahim,DG12,Dalam tindakan,,13000,0,0,0,13000,9306,0,0,0,9306,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Penyediaan Dokumen SKPK 3.0 Bersama Task Force Jemaah Nazir Bil. 3 Tahun 2025,20,19/08/2025,21/08/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Selesai,,7606.94,0,0,1940,9546.94,7606.94,0,0,1940,9546.94,,
SSJK,Unit Prasekolah,Tinjauan,DSA(JN),Tinjauan Lapangan Ke Prasekolah Cadangan Model Pendidikan Prasekolah Malaysia,13,15/08/2025,05/09/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Selesai,,20000,0,0,0,20000,19999.7,0,0,0,19999.7,,
SSJK,Unit Prasekolah,Pemeriksaan,INISIATIF#59,Pemeriksaan Verifikasi Skor Penilaian Kendiri Standard Kualiti Prasekolah Kebangsaan (PK-SKPK) 2.0 Sesi Akademik 2024/2025,240,21/09/2025,10/10/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Dalam tindakan,,120000,0,0,0,120000,119999.94,0,0,0,119999.94,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,"Bengkel Kerja Pemurnian Dokumen Standard Kualiti Prasekolah Kebangsaan (SKPK) 3.0 Bersama Pakar, Bahagian KPM dan Agensi Tahun 2025",37,14/10/2025,16/10/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Belum bermula,,0,0,0,0,0,0,0,0,0,0,,
SSJK,Unit Standard,Penilaian,DSA(JN),Penilaian Pengesahan Taraf Cemerlang Tahun 2025,150,28/09/2025,10/10/2025,Normie Azura binti Abdul Jamil,DG12,Selesai,,200000,0,0,0,200000,0,0,0,0,0,,
SSJK,Unit Standard,Penilaian,DSA(JN),Penilaian Pengiktirafan Kecemerlangan Institusi Pendidikan MADANI Tahun 2025,200,12/10/2025,17/10/2025,Normie Azura binti Abdul Jamil,DG12,Selesai,,75000,0,0,0,75000,0,0,0,0,0,,
SSJK,Unit Standard,Bengkel,DSA(JN),Bengkel Kerja Penilaian Video Kisah Inspirasi Sekolah dan Penyediaan Rumusan Penilaian Pengiktirafan Kecemerlangan Institusi Pendidikan MADANI Tahun 2025,50,26/10/2025,29/10/2025,Normie Azura binti Abdul Jamil,DG12,Selesai,,25000,0,0,0,25000,0,0,0,0,0,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,"Bengkel Kerja Penulisan Rumusan Laporan Pemeriksaan Verifikasi Skor Penilaian Kendiri Standard Kualiti Prasekolah Kebangsaan (PK-SKPK 2.0) Sesi Akademik 2024/2025
",20,26/10/2025,30/10/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Dalam tindakan,,33358,0,0,0,33358,33358,0,0,0,33358,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Pemantapan Instrumen SKPK 3.0 Bersama Task Force Jemaah Nazir Tahun 2025,28,04/11/2025,06/11/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Belum bermula,,37763.5,0,0,0,37763.5,37763.5,0,0,0,37763.5,,
SSJK,Unit Standard,Bengkel,DSA(JN),Bengkel Kerja Penilaian Video Kisah Inspirasi Sekolah dan Penyediaan Rumusan Penilaian Pengiktirafan Kecemerlangan Institusi Pendidikan MADANI Tahun 2025,50,26/10/2025,29/10/2025,Normie Azura binti Abdul Jamil,DG12,Selesai,,25000,0,0,0,25000,0,0,0,0,0,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,"Bengkel Kerja Penulisan Rumusan Laporan Pemeriksaan Verifikasi Skor Penilaian Kendiri Standard Kualiti Prasekolah Kebangsaan (PK-SKPK 2.0) Sesi Akademik 2024/2025
",20,26/10/2025,30/10/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Dalam tindakan,,33358,0,0,0,33358,33358,0,0,0,33358,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Penyelarasan Pemilihan Model Pendidikan Prasekolah Malaysia,10,10/11/2025,11/11/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Belum bermula,,0,0,0,500,500,0,0,0,500,500,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Pemantapan Instrumen SKPK 3.0 Bersama Task Force Jemaah Nazir Tahun 2025,28,04/11/2025,06/11/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Belum bermula,,37763.5,0,0,0,37763.5,37763.5,0,0,0,37763.5,,
SSJK,Unit Standard,Bengkel,DSA(JN),Bengkel Kerja Post Mortem Pengisian Dan Penyediaan Laporan Pengisian SK@S Tahun 2024 ,31,09/11/2025,13/11/2025,Normie Azura binti Abdul Jamil,DG12,Belum bermula,,0,0,0,0,0,0,0,0,0,0,,
SSJK,Unit Prasekolah,Bengkel,INISIATIF#59,Bengkel Kerja Penyelarasan Pemilihan Model Pendidikan Prasekolah Malaysia,10,10/11/2025,11/11/2025,Wan Mohd Sidqi bin Wan Abdul Ghafar,DG12,Belum bermula,,0,0,0,500,500,0,0,0,500,500,,
SSJK,Unit Standard,Bengkel,DSA(JN),BENGKEL KERJA PERSEDIAAN PENGISIAN        SKPM KUALITI@SEKOLAH (SK@S) TAHUN 2025,29,04/11/2025,07/11/2025,Normie Azura binti Abdul Jamil,DG12,Dalam tindakan,,0,0,0,0,0,0,0,0,0,0,,
SSJK,Unit Standard,Bengkel,DSA(JN),Bengkel Kerja Post Mortem Pengisian Dan Penyediaan Laporan Pengisian SK@S Tahun 2024 ,31,09/11/2025,13/11/2025,Normie Azura binti Abdul Jamil,DG12,Belum bermula,,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Asas,Kursus,DSA(JN),Modul Bimbingan Nazir Sekolah Novis Siri 1 ,30,01/01/2025,30/06/2025,Pn. Rosnita binti Abdullah,DG12,Dalam tindakan,Modul dilaksanakan secara berterusan bergantung kepada bilangan NSB yang telah selesai menjalani Modul Perantisan berakhir Jun 2025,0,0,0,0,0,35000,0,0,0,35000,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),"Lead Ahead Talk Jemaah Nazir 
Siri 1 Tahun 2025
",384,22/01/2025,22/01/2025,Pn. Noraini binti Hasbollah,DG13,Selesai,,60,0,0,400,460,2000,0,0,1000,3000,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),"Lead Ahead Talk Jemaah Nazir 
Siri 2 Tahun 2025
",384,10/03/2025,10/03/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,,0,0,0,0,0,2000,0,0,1000,3000,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),Bengkel Kerja Training of Trainers (TOT) Pemeriksaan Penuh 2025,56,04/03/2025,06/03/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,,0,0,0,0,0,35000,0,0,3500,38500,,
SPKN,Unit Latihan Kompetensi Asas,Kursus,LDP (BPG),Bengkel Training of Trainers (TOT) Mentor Jemaah Nazir Tahun 2025 ,45,11/03/2025,13/03/2025,Hjh. Zunaini binti Mohamad Tahir,DG12,Selesai,Lanjutan akan diteruskan dengan Program Coaching and Mentoring,0,0,0,0,0,18929.9,0,0,4444.68,23374.58,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),"Lead Ahead Talk Jemaah Nazir 
Siri 2 Tahun 2025
",384,10/03/2025,10/03/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,,0,0,0,0,0,2000,0,0,1000,3000,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),Bengkel Kerja Training of Trainers (TOT) Pemeriksaan Penuh 2025,56,04/03/2025,06/03/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,,0,0,0,0,0,35000,0,0,3500,38500,,
SPKN,Unit Latihan Kompetensi Asas,Kursus,LDP (BPG),Bengkel Training of Trainers (TOT) Mentor Jemaah Nazir Tahun 2025 ,45,11/03/2025,13/03/2025,Hjh. Zunaini binti Mohamad Tahir,DG12,Selesai,Lanjutan akan diteruskan dengan Program Coaching and Mentoring,0,0,0,0,0,18929.9,0,0,4444.68,23374.58,,
SPKN,Unit Latihan Kompetensi Asas,Kursus,DSA(JN),Program Pentauliahan Nazir Sekolah - Modul Nazir Sekolah Novis Siri 1,15,05/05/2025,08/05/2025,Hjh. Zunaini binti Mohamad Tahir,DG12,Selesai,,0,0,0,0,0,20000,0,0,7000,27000,,
SPKN,Unit Latihan Kompetensi Berterusan,Bengkel,DSA(JN),Bengkel Kerja Penyediaan Dokumen Kurikulum Latihan Nazir Sekolah Fasa 1,10,22/04/2025,24/04/2025,Pn. Faridahanum binti Ahmad,DG12,Dalam tindakan,Peringkat Sektor SPKN,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Latihan Pembangunan Kompetensi Pemeriksaan Dan Pelaporan Zon Sarawak Siri 1,40,17/06/2025,20/06/2025,Pn. Faridahanum binti Ahmad,DG12,Dalam tindakan,Dalam perancangan dan tindakan,27261.3,0,0,17840,45101.3,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Bengkel Training of Trainer (TOT) Mentor Jemaah Nazir Tahun 2025 Siri 2,30,17/06/2025,19/06/2025,Pn. Rosnita binti Abdullah,DG12,Dipinda,Telah dilaksanakan Siri 1 dan akan diteruskan dengan Program Coaching and Mentoring kerjasama IAB,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),Lead Ahead Talk (Siri 3),384,13/05/2025,19/05/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,,0,0,0,0,0,2000,0,0,1000,3000,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Kursus Komunikasi Berkesan Di Tempat Kerja,,24/06/2025,26/06/2025,Pn. Faridahanum binti Ahmad,DG12,Dipinda,Akan dilaksana dalam Program Lead Ahead Talk,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Latihan Pembangunan Kompetensi Pemeriksaan Dan Pelaporan Zon Utara Siri 2,50,01/07/2025,03/07/2025,Pn. Faridahanum binti Ahmad,DG12,Dalam tindakan,Dalam perancangan dan tindakan,25359.4,0,0,16595,41954.4,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Kursus Pengurusan Kewangan,,08/10/2025,10/10/2025,Pn. Faridahanum binti Ahmad,DG12,Dipinda,Akan dilaksana dalam Program Lead Ahead Talk,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Kursus Kepimpinan Digital Untuk Middle Leaders Jemaah Nazir,30,15/07/2025,17/07/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),Lead Ahead Talk (Siri 4),384,29/07/2025,29/07/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,Dalam perancangan dan tindakan,0,0,0,0,0,2000,0,0,1000,3000,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Kursus Kepimpinan Digital Untuk Middle Leaders Jemaah Nazir,30,15/07/2025,17/07/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),Lead Ahead Talk (Siri 4),384,29/07/2025,29/07/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,Dalam perancangan dan tindakan,0,0,0,0,0,2000,0,0,1000,3000,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),Latihan Pembangunan Kompetensi Pemeriksaan Dan Pelaporan Zon Sabah Siri 3,50,05/08/2025,07/08/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,19019.51,0,0,12446.5,31466.01,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),Kursus Kepimpinan Berprestasi Tinggi Untuk Pengurusan Tertinggi Jemaah Nazir,30,19/08/2025,21/08/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),Kursus Kepimpinan Berprestasi Tinggi Untuk Pengurusan Tertinggi Jemaah Nazir,30,19/08/2025,21/08/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Bengkel Pemantapan Setiausaha Latihan Dalam Perkhidmatan (SULDP),28,02/09/2025,04/09/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,44792.8,0,0,3057,47849.8,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Asas,Kursus,DSA(JN),Program Pentauliahan Nazir Sekolah - Modul Nazir Sekolah Novis Siri 2,30,22/09/2025,25/09/2025,Pn. Rosnita binti Abdullah,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Kursus Coaching dan Mentoring Untuk Nazir Sekolah (Kerjasama dengan IAB),30,23/09/2025,25/09/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,DSA(JN),Kursus Training Of Trainer (TOT) Lead Auditor Jemaah Nazir,350,14/10/2025,16/10/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Lawatan Penandaarasan,DSA(JN),Lawatan Penandaarasan Penaziran (Singapura),15,22/10/2025,24/10/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Kursus Coaching dan Mentoring Untuk Nazir Sekolah (Kerjasama dengan IAB),30,23/09/2025,25/09/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Bengkel Kerja,DSA(JN),Bengkel Penilaian Kertas Cadangan bagi Penganugerahan Geran Penyelidikan Geran Penyelidikan IPGM,,31/07/2025,01/08/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Lawatan Penandaarasan,DSA(JN),Lawatan Penandaarasan Penaziran (Singapura),15,22/10/2025,24/10/2025,Pn. Faridahanum binti Ahmad,DG12,Belum bermula,Dalam perancangan dan tindakan,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Berterusan,Bengkel Kerja,DSA(JN),Bengkel Penilaian Kertas Cadangan bagi Penganugerahan Geran Penyelidikan Geran Penyelidikan IPGM,,31/07/2025,01/08/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,,0,0,0,0,0,0,0,0,0,0,,
SPKN,Unit Latihan Kompetensi Asas,Kursus,DSA(JN),Modul Bimbingan Nazir Sekolah Novis Siri 2,,01/07/2025,31/12/2025,Dr. Aryati binti Abd Rahman,DG12,Selesai,,,,,,,,,,,,,
SPKN,Unit Latihan Kompetensi Berterusan,Kursus,LDP (BPG),Chief Inspector (CI) Mastery Programme Tahun 2025,24,16/11/2025,19/11/2025,Dr. Aryati binti Abd Rahman,DG12,Selesai,,8422.7,0,0,35910.7,44333.4,,,,,,,
SPKN,Unit Latihan Kompetensi Asas,Kursus,DSA(JN),Program Pentauliahan Nazir Sekolah: Modul Bimbingan Nazir Sekolah Novis Siri 1 Tahun 2026,2,25/01/2026,31/03/2026,Dr. Aryati binti Abd Rahman,DG12,Dalam tindakan,,,,,,,,,,,,,
SPKN,Unit Latihan Kompetensi Asas,Kursus,DSA(JN),Program Pentauliahan Nazir Sekolah: Modul Bimbingan Nazir Sekolah Novis Siri 1 Tahun 2026,2,25/01/2026,31/03/2026,Dr. Aryati binti Abd Rahman,DG12,Dalam tindakan,,,,,,,,,,,,,
SDTM,Unit Data,Bengkel Kerja,DSA (JN),"Bengkel Kerja Penyediaan dan Penginterasian Data Bagi Pembangunan Dashboard Pemantauan Pemeriksaan Penilaian Aktitiviti Uji Rintis Aktiviti Bukan Pemeriksaan Jemaah Nazir",12,19/03/2025,21/03/2025,Dr. Dayang Suryati binti Abang Ibrahim,DG12,Selesai,,3990,0,0,0,3990,3990,0,0,0,3990,,
SDTM,Unit Teknologi Maklumat,Lawatan Penandaarasan,DSA (JN),Lawatan ke Studio TV dan Studio Radio Institut Penyiaran dan Penerangan Tun Abdul Razak (IPPTAR),11,,,Pn. Siti Suhana binti Abdullah,DG12,Dibatalkan,Tiada peruntukan kewangan,300,0,0,0,300,0,0,0,0,0,,
SDTM,Unit Teknologi Maklumat,Kursus,DSA (JN),Kursus Hands-on Pengurusan Data dan Peralatan ICT,27,,,Pn. Siti Suhana binti Abdullah,DG12,Dibatalkan,Tiada peruntukan kewangan,810,0,0,0,810,0,0,0,0,0,,
SDTM,Unit Data,Bengkel Kerja,DSA (JN),Bengkel Kerja Penyelarasan Data dan Teknologi Maklumat Jemaah Nazir ,30,27/10/2025,29/10/2025,Dr. Dayang Suryati binti Abang Ibrahim,DG12,Belum bermula,,13000,0,0,15000,28000,17099,0,0,13500,30599,,
SDTM,Unit Teknologi Maklumat,Kursus,DSA (JN),Kursus Hands-on Pengurusan Data dan Peralatan ICT,27,,,Pn. Siti Suhana binti Abdullah,DG12,Dibatalkan,Tiada peruntukan kewangan,810,0,0,0,810,0,0,0,0,0,,
SDTM,Unit Data,Bengkel Kerja,DSA (JN),Bengkel Kerja Penyelarasan Data dan Teknologi Maklumat Jemaah Nazir ,30,27/10/2025,29/10/2025,Dr. Dayang Suryati binti Abang Ibrahim,DG12,Belum bermula,,13000,0,0,15000,28000,17099,0,0,13500,30599,,
SDTM,Unit Teknologi Maklumat,Bengkel Kerja,DSA (JN),Bengkel Kerja Pengurusan Maklumat Pemeriksaan Sekolah dan ICT Siri 2 Tahun 2025,,,,Pn. Siti Suhana binti Abdullah,DG12,Dibatalkan,Tiada peruntukan kewangan,26250,0,0,0,26250,0,0,0,0,0,,
SDTM,Unit Data,Mesyuarat,DSA (JN),Mesyuarat JK Pemandu ICT JN 2025 ,,,,Dr. Dayang Suryati binti Abang Ibrahim,DG12,Dibatalkan,,918,0,0,2100,3018,0,0,0,0,0,,
SDTM,Unit Teknologi Maklumat,Acara/Majlis,DSA (JN),Safer Internet Day 2025 peringkat Jemaah Nazir,,,,Pn. Siti Suhana binti Abdullah,DG12,Dibatalkan,Tiada peruntukan kewangan,0,0,0,3280,3280,0,0,0,0,0,,
SDTM,Unit Data,Bengkel,DSA (JN),"Bengkel Kerja Analisis Data dan Penulisan laporan Tinjauan Pelaksanaan Kelas Hibrid Tahun 2025",7,27/10/2025,31/10/2025,Low Swee Sing,DG14,Selesai,,6000,0,0,0,6000,6000,0,0,0,6000,,
SDTM,Unit Data,Tinjauan,DSA (JN),Tinjauan Pelaksanaan Kelas Hibrid Tahun 2025,34,13/10/2025,24/10/2025,Low Swee Sing,DG14,Selesai,,20000,0,0,0,20000,20000,0,0,0,20000,,
SDTM,Unit Data,Bengkel,DSA (JN),"Bengkel Kerja Analisis Data dan Penulisan laporan Tinjauan Pelaksanaan Kelas Hibrid Tahun 2025",7,27/10/2025,31/10/2025,Low Swee Sing,DG14,Selesai,,6000,0,0,0,6000,6000,0,0,0,6000,,
SP,,Pemeriksaan,PENGURUSAN,Pemantauan Pejabat Jemaah Nazir Negeri,50,01/07/2025,30/09/2025,Izzatul Fadhilah bt Abdullah Zawawi,WA9,Belum bermula,,918,0,0,2100,3018,0,0,0,0,0,,
SP,,Mesyuarat,PENGURUSAN,Program lain-lain anjuran bahagian / kementerian lain,400,01/05/2025,31/12/2025,Izzatul Fadhilah bt Abdullah Zawawi,WA9,Belum bermula,,,0,0,,0,,0,0,,0,,
SP,,Mesyuarat,PENGURUSAN,Tuntutan perjalanan pemandu,50,01/05/2025,31/12/2025,Izzatul Fadhilah bt Abdullah Zawawi,WA9,Belum bermula,,,,,,0,,,,,,,
SP,,Kursus,PENGURUSAN (BPSM),Kursus Pengurusan Kenderaan Jabatan,30,19/06/2025,19/06/2025,Izzatul Fadhilah bt Abdullah Zawawi,WA9,Selesai,,,,,,0,,,,,,,
SP,,Bengkel,PENGURUSAN,Bengkel Kerja Pengurusan Kewangan Jemaah Nazir tahun 2025,50,10/09/2025,12/09/2025,Izzatul Fadhilah bt Abdullah Zawawi,WA9,Selesai,,20000,0,0,20000,40000,,,,,,,
SP,,Pemeriksaan,PENGURUSAN,Tuntutan bayaran balik parkir bulanan,400,01/01/2026,31/12/2026,Izzatul Fadhilah bt Abdullah Zawawi,WA9,Dalam tindakan,,30000,0,0,0,30000,0,0,0,0,0,,
SP,,Pemeriksaan,PENGURUSAN,Tuntutan Elaun Motosikal,400,01/01/2026,31/12/2026,Izzatul Fadhilah bt Abdullah Zawawi,WA9,Dalam tindakan,,30000,0,0,0,30000,0,0,0,0,0,,
SP,,Pemeriksaan,PENGURUSAN,Tuntutan bayaran balik parkir bulanan,400,01/01/2026,31/12/2026,Izzatul Fadhilah bt Abdullah Zawawi,WA9,Dalam tindakan,,30000,0,0,0,30000,0,0,0,0,0,,
SP,,Pemeriksaan,PENGURUSAN,Tuntutan Elaun Motosikal,400,01/01/2026,31/12/2026,Izzatul Fadhilah bt Abdullah Zawawi,WA9,Dalam tindakan,,30000,0,0,0,30000,0,0,0,0,0,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Permuafakatan Bersama-sama Bahagian KPM Tahun 2025,25,15/04/0202,15/04/2025,Puan Suraya Sari binti Abd. Aziz,DG12,Dalam tindakan,,0,0,0,5000,5000,0,0,0,1800,1800,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pembentangan Rumusan Laporan JN kepada Bahagian KPM dan JPN Tahun 2025,30,,,Puan Suraya Sari binti Abd. Aziz,DG12,Belum bermula,Enam laporan ,0,0,0,1800,1800,0,0,0,1280,1280,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pengurusan Ketua Nazir Sekolah Bil 1,40,03/02/2025,04/02/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,,30000,0,0,4500,34500,18003.62,0,0,1940,19943.62,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pembentangan Rumusan Laporan JN kepada Bahagian KPM dan JPN Tahun 2025,30,,,Puan Suraya Sari binti Abd. Aziz,DG12,Belum bermula,Enam laporan ,0,0,0,1800,1800,0,0,0,1280,1280,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pengurusan Ketua Nazir Sekolah Bil 1,40,03/02/2025,04/02/2025,Pn. Faridahanum binti Ahmad,DG12,Selesai,,30000,0,0,4500,34500,18003.62,0,0,1940,19943.62,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pembentangan Rumusan Laporan JN kepada YB Menteri Pendidikan,30,28/01/2025,28/01/2025,Puan Suraya Sari binti Abd. Aziz,DG12,Selesai,7LKG & Reformasi Pendidikan,0,0,0,1000,1000,0,0,0,320,320,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pengurusan Ketua Nazir Sekolah Bil 2,40,14/05/2025,16/05/2025,Pn. Azidah binti Abdul Aziz,DG13,Selesai,,30000,0,0,4500,34500,30800,0,0,19980,50780,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pengurusan Tertinggi Jemaah Nazir,15,01/01/2025,30/06/2025,Pn. Azidah binti Abdul Aziz,DG13,Dalam tindakan,,0,0,0,2460,2460,0,0,0,0,0,,
SDP,,Mesyuarat,DSA(JN),Mesyuarat Pembentangan Rumusan Laporan JN kepada YB Menteri Pendidikan,30,28/01/2025,28/01/2025,Puan Suraya Sari binti Abd. Aziz,DG12,Selesai,7LKG & Reformasi Pendidikan,0,0,0,1000,1000,0,0,0,320,320,,
